CID,SMILES
2738308,C1CCC(CC1)(CC(=O)NC2=C(C=CC(=C2)F)Cl)CC(=O)O
6485397,CCN1C=C(C(=N1)C)CCC(=O)O
2338125,CC1=C(C=C(C=C1)NC(=O)COC(=O)C2=CC=CO2)C
826227,CCNC1=NC(=NC(=N1)N(C#N)C(C)C)NCC
7978577,CC1=CC=C(C=C1)CNC(=O)CNC(=O)C2=CC=C(O2)Br
3102985,CC(=C)CNC(=S)NNC(=O)C1=CC=NC=C1
7526356,CCCNS(=O)(=O)C1=CC2=C3C(=C1)CCN3C(=O)CC2
2082921,C1COCCN1CC(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])Cl
23723912,COC1=CC(=C(C=C1)CN2CCN(CC2CCO)C3CCC3)F
4885703,CN1C2=C(C=C(C=C2)S(=O)(=O)NCC3=CC=C(C=C3)C(=O)O)OC1=O
1130976,CC1=C(SC(=C1C#N)NC(=O)C2=CC=C(C=C2)Cl)C(=O)N3CCCC3
16301671,CCN(CC1=CC(=C(C=C1)OC)F)C(=O)/C=C/C2=CC=C(C=C2)S(=O)(=O)N3CCOCC3
3483755,C1=CC=C(C(=C1)C#N)OCC(=O)OCC(=O)C2=CNC3=CC=CC=C32
2310234,C1=CC=C(C=C1)CN(C2=CC=CC=C2C(=O)O)C(=O)COC3=CC=CC=C3
24789960,C1COCCN1CCCNC(=O)CN2C3=CC=CC=C3S/C(=C\C4=CC=C(C=C4)C(F)(F)F)/C2=O
2491304,COCCNC(=S)NNC1=CC(=C(C=C1)Cl)C(=O)O
881135,C1=CC(=CC(=C1)N2C(=O)C=CC2=O)NC(=O)C3=CC=CS3
6469181,CC1CC(CN(C1)C(=O)NC2=CC=CC=C2F)C
2742951,CC1=CC=C(C=C1)C(=O)NC2=NN(C3=C2C(=CC=C3)F)C
16234675,COC1=CC=CC=C1NC(=O)CC2=CSC=C2
4877140,CCC1=CC=C(C=C1)C(=O)NC(CCSC)C(=O)OC
1433190,CC1=CC=C(S1)C(=O)N(CC(=O)NC2CCCC2)C3=CC4=C(C=C3)OCCO4
878471,CC(=O)NC1=NN=C(S1)COC2=CC=C(C=C2)Cl
9556890,C1=CC=NC(=C1)/C=N/NC(=O)C2=NNC(=C2)C3=CC=C(S3)Cl
2889770,CC1=CC=CC=C1NC(=O)C(C)SCC2=CC=CC=C2
1419886,CC1=CC(=CC=C1)N2C(=O)C3=C(N=C4CC(OCC4=C3)(C)C)N=C2SC
